Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,"xG
▼",npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Erling Haaland,no NOR,FW,Manchester City,23,2000,31,29,"2,552",28.4,27,5,32,20,7,8,1,0,29.2,22.9,4.3,27.2,35,26,126,0.95,0.18,1.13,0.71,0.88,1.03,0.15,1.18,0.81,0.96,Matches
2,Mohamed Salah,eg EGY,FW,Liverpool,31,1992,32,28,"2,534",28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,98,147,341,0.64,0.36,0.99,0.46,0.82,0.75,0.42,1.17,0.55,0.97,Matches
3,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,30,27,"2,255",25.1,21,2,23,16,5,6,1,0,20.3,15.6,3.7,19.3,68,71,129,0.84,0.08,0.92,0.64,0.72,0.81,0.15,0.96,0.62,0.77,Matches
4,Dominic Solanke,eng ENG,FW,Bournemouth,25,1997,38,37,"3,325",36.9,19,3,22,17,2,3,3,0,19.6,17.2,3,20.3,52,60,184,0.51,0.08,0.6,0.46,0.54,0.53,0.08,0.61,0.47,0.55,Matches
5,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,35,31,"2,799",31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,Matches
6,Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,33,29,"2,607",29,22,11,33,13,9,9,7,0,18.2,11.1,11.1,22.2,117,197,195,0.76,0.38,1.14,0.45,0.83,0.63,0.38,1.01,0.38,0.77,Matches
7,Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,37,37,"3,217",35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,0.53,0.36,0.9,0.53,0.9,0.47,0.21,0.68,0.47,0.68,Matches
8,Darwin Núñez,uy URU,FW,Liverpool,24,1999,36,22,"2,047",22.7,11,8,19,11,0,1,9,0,16.3,15.5,6,21.5,58,54,206,0.48,0.35,0.84,0.48,0.84,0.72,0.27,0.98,0.68,0.95,Matches
9,Bukayo Saka,eng ENG,FW,Arsenal,21,2001,35,35,"2,919",32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,Matches
10,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,36,31,"2,647",29.4,11,8,19,9,2,2,2,0,13,11.5,6.4,17.9,64,103,180,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61,Matches
11,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,32,26,"2,171",24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.6,Matches
12,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,37,30,"2,634",29.3,13,7,20,12,1,1,11,0,12.3,11.6,4.4,15.9,55,99,191,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,Matches
13,Son Heung-min,kr KOR,FW,Tottenham,31,1992,35,34,"2,934",32.6,17,10,27,15,2,2,1,0,12,10.4,11.8,22.2,119,139,325,0.52,0.31,0.83,0.46,0.77,0.37,0.36,0.73,0.32,0.68,Matches
14,Luis Díaz,co COL,FW,Liverpool,26,1997,37,32,"2,629",29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,137,113,302,0.27,0.17,0.45,0.27,0.45,0.41,0.19,0.6,0.41,0.6,Matches
15,João Pedro,br BRA,"FW,MF",Brighton,21,2001,31,19,"2,045",22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205,0.4,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,Matches
